"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4646-5p",-1.18669195271644,100.51095377745,-0.662741575665837,0.507597881531808,0.93674457254168,-10.1232457134149
"hsa-miR-4647",-4.81637763716901,35.8327488156458,-9.65133401078001,2.00463095645604e-21,5.36171959820109e-20,34.8721172098878
"hsa-miR-4648",-0.18750164538779,8.44720649443608,-0.798351862851476,0.4247926860292,0.817787071184814,-10.0241465932337
"hsa-miR-4649-3p",0.176312352947152,10.9637482093422,0.39780235196314,0.6908324794094,1,-10.2637997829717
"hsa-miR-4649-5p",-0.00792142775038521,0.0034227740412783,-1.62286237322422,0.104828925658486,0.29842622910022,-9.02642069137828
"hsa-miR-4650-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4650-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4651",-7.37662321413077,204.05338454492,-1.36320016017943,0.173023982467788,0.449011783739175,-9.41377905186301
"hsa-miR-4652-3p",0.186328105272482,0.631574639603196,1.74739297202383,0.0807737936668713,0.238985590111717,-8.81683025037901
"hsa-miR-4652-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4653-3p",-1.63478769915105,1384.22302850133,-0.04439261334329,0.964597357302501,1,-10.3419849000715
"hsa-miR-4653-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4654",0.352013376927925,1.60249421148535,3.26591073229684,0.00111575268340062,0.00492995568921065,-5.02526534942244
"hsa-miR-4655-3p",-2.50589609431671,17.4002100500206,-5.50733290534326,4.28011510445261e-08,3.50445342838038e-07,4.68097429954863
"hsa-miR-4655-5p",-0.800799798345523,29.9917214494874,-1.26916386566992,0.204579485019153,0.515560863000529,-9.53748614165619
"hsa-miR-4656",-3.41222313366271,169.752730134567,-1.70352710597747,0.0886765725808216,0.26082874574359,-8.89241869919272
"hsa-miR-4657",0.814686405910055,2.1159838491964,7.203822714853,9.2331805963476e-13,1.21057256707668e-11,15.1826073410862
"hsa-miR-4658",-0.0339382929194414,0.0316559215193076,-2.17437095060748,0.0298331292648713,0.100243312069232,-7.9811943106408
"hsa-miR-4659a-3p",-1.75290063770312,23.511942677273,-4.51792750087344,6.7341393093631e-06,4.08354373456452e-05,-0.199288548127891
"hsa-miR-4659a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4659b-3p",-0.795367764428756,3.85011163168775,-4.21804911882661,2.61171277956513e-05,0.000146343459100773,-1.49353468534105
"hsa-miR-4659b-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-466",0.410320664364138,1.36489165213316,2.07795227769206,0.037883451855379,0.123769062576368,-8.18571396280253
"hsa-miR-4660",0.634652431107492,3.68900401561651,3.73553602263096,0.000194332237902303,0.000937092474115432,-3.39354660077565
"hsa-miR-4661-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4661-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4662a-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4662a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4662b",0,0,0,1,1,-10.3429708982513
"hsa-miR-4663",0,0,0,1,1,-10.3429708982513
"hsa-miR-4664-3p",-3.97286097403445,28.918873106765,-7.22697350039991,7.83323550635747e-13,1.04062718051345e-11,15.3441529957477
