"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0027518",-0.421978873239424,3.27825316455696,-1.14805171571872,0.254182064690814,0.757772821965571,-5.85842008310801
"MIMAT0027519",0.000607394366213931,3.81567088607595,0.0017178861121995,0.998633368833076,0.999026686426157,-6.5054692450225
"MIMAT0027520",0.0191426056338209,4.32232911392405,0.0492981023224891,0.960797892878287,0.989629622023864,-6.5042681546217
"MIMAT0027521",-1.12452640845069,4.2479746835443,-3.16078117951655,0.00218363668811713,0.0538489047360923,-1.83853639916399
"MIMAT0027522",-0.14094190140844,3.26045569620253,-0.376753168711698,0.707300035617866,0.961614522730469,-6.43529427725993
"MIMAT0027523",-0.277327464788719,3.33150632911392,-0.753323239494173,0.453346332960402,0.892635415286374,-6.22561886599714
"MIMAT0027524",0.0467306338028406,6.28787341772152,0.147866639832654,0.882799747578698,0.967838133887482,-6.49465306733689
"MIMAT0027525",-0.16352288732393,3.79391139240506,-0.456361548045723,0.64929905553009,0.960523937709044,-6.40254545940853
"MIMAT0027526",-0.237624999999979,5.62906329113924,-0.726785339448433,0.469363041822574,0.903166062009633,-6.24492723218021
"MIMAT0027527",0.30843485915495,5.45807594936709,0.820363704914289,0.414313480247341,0.875504359258109,-6.17380288402608
"MIMAT0027528",-0.259190140845055,3.42555696202532,-0.707890262039355,0.480958464322282,0.907492032515591,-6.25825817266944
"MIMAT0027529",-0.575728873239419,3.51982278481013,-1.51854246638717,0.13260475885836,0.56333583697079,-5.38002762837928
"MIMAT0027530",-0.340846830985894,5.11454430379747,-1.01974929803958,0.310753696786716,0.803171969137735,-5.99411487154506
"MIMAT0027531",-0.0124630281690004,3.60092405063291,-0.0312709306574777,0.975127103499488,0.994143774677865,-6.50498683563015
"MIMAT0027532",0.251623239436661,10.2463924050633,1.69968013963877,0.0928639807183776,0.47651416368622,-5.10035170136325
"MIMAT0027533",-0.240952464788717,3.36982278481013,-0.659417629343129,0.511418051038839,0.908190592103511,-6.2908692260999
"MIMAT0027534",-0.0763644366197043,3.31849367088608,-0.199419683372048,0.84241282546691,0.964176411449385,-6.48579722706826
"MIMAT0027535",-0.0271390845070281,3.36273417721519,-0.0717084259288824,0.94300314407338,0.980846841091886,-6.50292635880571
"MIMAT0027536",-0.0114630281689996,3.37682278481013,-0.0263811882359699,0.979015406900849,0.99521484433539,-6.50512632664258
"MIMAT0027537",-0.428221830985901,3.31439240506329,-1.17505616435532,0.24326773633092,0.749835913030723,-5.8278756313722
